conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C321,321,Orvosi és gyógyszerésztechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3211,3211,Orvosi képalkotó diagnosztikai és terápiás berendezések technikusai,,
ISCOGroup,http://data.europa.eu/esco/isco/C3212,3212,Orvosi és patológiai labortechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C3213,3213,Gyógyszerésztechnikusok és -asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3214,3214,Gyógyászatisegédeszköz- és fogtechnikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C322,322,Ápolók és szülészeti asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3221,3221,Ápolók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3222,3222,Szülészeti asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C323,323,Hagyományos orvoslás és alternatív gyógymódok foglalkozásai,,
ISCOGroup,http://data.europa.eu/esco/isco/C3230,3230,Hagyományos orvoslás és alternatív gyógymód foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C324,324,Állatorvosi technikusok és asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3240,3240,Állatorvosi technikusok és asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C325,325,Egyéb egészségügyi foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C3251,3251,Fogászati asszisztensek és terapeuták,,
ISCOGroup,http://data.europa.eu/esco/isco/C3252,3252,Egészségügyi nyilvántartások és dokumentációk technikusai,,
ISCOGroup,http://data.europa.eu/esco/isco/C3253,3253,Közösségi egészségügyi foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C3254,3254,Látszerészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3255,3255,Fizioterápiás technikusok és asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3256,3256,Orvosi asszisztensek,,
ISCOGroup,http://data.europa.eu/esco/isco/C3257,3257,Környezet- és foglalkozás-egészségügyi ellenőrök,,
ISCOGroup,http://data.europa.eu/esco/isco/C3258,3258,Mentőápolók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3259,3259,Máshová nem sorolható egészségügyi foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C33,33,Üzleti és igazgatási foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C331,331,Pénzügyi és matematikai foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C3311,3311,Értékpapír-kereskedők és pénzügyi közvetítők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3312,3312,Hitel- és kölcsönügyintézők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3313,3313,Számviteli foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C3314,3314,"Statisztikusokat, matematikusokat és aktuáriusokat segítő foglalkozások",,
ISCOGroup,http://data.europa.eu/esco/isco/C3315,3315,Becsüsök és kárfelmérők,,
ISCOGroup,http://data.europa.eu/esco/isco/C332,332,"Értékesítési és beszerzési ügynökök, üzletkötők",,
ISCOGroup,http://data.europa.eu/esco/isco/C3321,3321,Biztosítási üzletkötők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3322,3322,Kereskedelmi értékesítők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3323,3323,Felvásárlók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3324,3324,Kereskedelmi üzletkötők,,
ISCOGroup,http://data.europa.eu/esco/isco/C333,333,Üzleti szolgáltatásokat nyújtók,,
ISCOGroup,http://data.europa.eu/esco/isco/C3331,3331,Vámügyintézők és speditőrök,,
ISCOGroup,http://data.europa.eu/esco/isco/C3332,3332,Konferencia- és rendezvényszervezők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3333,3333,Munka- és bérmunka-közvetítők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3334,3334,Ingatlanügynökök és -kezelők,,
ISCOGroup,http://data.europa.eu/esco/isco/C3339,3339,Máshová nem sorolható üzleti szolgáltatásokat nyújtók,,
ISCOGroup,http://data.europa.eu/esco/isco/C334,334,Titkárok és szakosodott titkárok,,
