conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C2114,2114,Geológusok és geofizikusok,,
ISCOGroup,http://data.europa.eu/esco/isco/C212,212,"Matematikusok, biztosításmatematikusok (aktuáriusok) és statisztikusok",,
ISCOGroup,http://data.europa.eu/esco/isco/C2120,2120,"Matematikusok, biztosításmatematikusok (aktuáriusok) és statisztikusok",,
ISCOGroup,http://data.europa.eu/esco/isco/C213,213,Élettani tudományok foglalkozásai,,
ISCOGroup,http://data.europa.eu/esco/isco/C2131,2131,"Biológusok, botanikusok, zoológusok és hasonló foglalkozásúak",,
ISCOGroup,http://data.europa.eu/esco/isco/C2132,2132,"Mezőgazdasági, erdészeti és halászati tanácsadók",,
ISCOGroup,http://data.europa.eu/esco/isco/C2133,2133,Környezetvédelmi foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C214,214,Mérnökök (kivéve a villamosmérnököket),,
ISCOGroup,http://data.europa.eu/esco/isco/C2141,2141,Ipari és termelési mérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2142,2142,Építőmérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2143,2143,Környezetvédelmi mérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2144,2144,Gépészmérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2145,2145,Vegyészmérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2146,2146,Bánya- és kohómérnökök és hasonló foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C2149,2149,Máshová nem sorolható mérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C215,215,Villamosmérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2151,2151,Erősáramú villamosmérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2152,2152,Gyengeáramú villamosmérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2153,2153,Telekommunikációs mérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C216,216,"Építészek, várostervezők, földmérők, terméktervezők",,
ISCOGroup,http://data.europa.eu/esco/isco/C2161,2161,Építészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C2162,2162,Tájépítészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C2163,2163,Termék- és divattervezők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2164,2164,Várostervezők és közlekedési mérnökök,,
ISCOGroup,http://data.europa.eu/esco/isco/C2165,2165,Térképészek és földmérők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2166,2166,Tervezőgrafikusok és multimédiatervezők,,
ISCOGroup,http://data.europa.eu/esco/isco/C22,22,Egészségügyi foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C221,221,Orvosok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2211,2211,Általános orvosok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2212,2212,Szakorvosok,,
ISCOGroup,http://data.europa.eu/esco/isco/C222,222,Diplomás ápolók és szülésznők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2221,2221,Diplomás ápolók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2222,2222,Szülésznők,,
ISCOGroup,http://data.europa.eu/esco/isco/C223,223,Hagyományos és alternatív gyógyítók,,
ISCOGroup,http://data.europa.eu/esco/isco/C2230,2230,Hagyományos és alternatív gyógyítók,,
ISCOGroup,http://data.europa.eu/esco/isco/C224,224,Paramedicinális foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2240,2240,Paramedicinális foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C225,225,Állatorvosok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2250,2250,Állatorvosok,,
ISCOGroup,http://data.europa.eu/esco/isco/C226,226,Egyéb egészségügyi foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C2261,2261,Fogorvosok,,
ISCOGroup,http://data.europa.eu/esco/isco/C2262,2262,Gyógyszerészek,,
ISCOGroup,http://data.europa.eu/esco/isco/C2263,2263,"Környezet-, foglalkozás-egészségügyi és higiénés foglalkozásúak",,
ISCOGroup,http://data.europa.eu/esco/isco/C2264,2264,Fizioterapeuták,,
ISCOGroup,http://data.europa.eu/esco/isco/C2265,2265,Dietetikusok és táplálkozás-szakértők,,
ISCOGroup,http://data.europa.eu/esco/isco/C2266,2266,Audiológusok és beszédterapeuták,,
ISCOGroup,http://data.europa.eu/esco/isco/C2267,2267,Optometristák,,
ISCOGroup,http://data.europa.eu/esco/isco/C2269,2269,Máshová nem sorolható egészségügyi foglalkozásúak,,
ISCOGroup,http://data.europa.eu/esco/isco/C23,23,Oktatási foglalkozások,,
ISCOGroup,http://data.europa.eu/esco/isco/C231,231,Egyetemek és egyéb felsőoktatási intézmények oktatói,,
