conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C1420,1420,Führungskräfte in Groß- und Einzelhandel,,
ISCOGroup,http://data.europa.eu/esco/isco/C143,143,Führungskräfte in der Erbringung sonstiger Dienstleistungen,,
ISCOGroup,http://data.europa.eu/esco/isco/C1431,1431,"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Sport, Erholung und Kultur",,
ISCOGroup,http://data.europa.eu/esco/isco/C1439,1439,"Führungskräfte in der Erbringung von Dienstleistungen, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C2,2,Akademische Berufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C21,21,"Naturwissenschaftler, Mathematiker und Ingenieure",,
ISCOGroup,http://data.europa.eu/esco/isco/C211,211,"Physiker, Chemiker, Geologen und verwandte Berufe",,
ISCOGroup,http://data.europa.eu/esco/isco/C2111,2111,Physiker und Astronomen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2112,2112,Meteorologen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2113,2113,Chemiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C2114,2114,Geologen und Geophysiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C212,212,"Mathematiker, Versicherungsmathematiker und Statistiker",,
ISCOGroup,http://data.europa.eu/esco/isco/C2120,2120,"Mathematiker, Versicherungsmathematiker und Statistiker",,
ISCOGroup,http://data.europa.eu/esco/isco/C213,213,Biowissenschaftler,,
ISCOGroup,http://data.europa.eu/esco/isco/C2131,2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",,
ISCOGroup,http://data.europa.eu/esco/isco/C2132,2132,"Agrar-, Forst- und Fischereiwissenschaftler und -berater",,
ISCOGroup,http://data.europa.eu/esco/isco/C2133,2133,Umweltwissenschaftler,,
ISCOGroup,http://data.europa.eu/esco/isco/C214,214,"Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)",,
ISCOGroup,http://data.europa.eu/esco/isco/C2141,2141,Wirtschafts- und Produktionsingenieure,,
ISCOGroup,http://data.europa.eu/esco/isco/C2142,2142,Bauingenieure,,
ISCOGroup,http://data.europa.eu/esco/isco/C2143,2143,Umweltschutzingenieure,,
ISCOGroup,http://data.europa.eu/esco/isco/C2144,2144,Maschinenbauingenieure,,
ISCOGroup,http://data.europa.eu/esco/isco/C2145,2145,Chemieingenieure,,
ISCOGroup,http://data.europa.eu/esco/isco/C2146,2146,"Bergbauingenieure, Metallurgen und verwandte Berufe",,
ISCOGroup,http://data.europa.eu/esco/isco/C2149,2149,"Ingenieure, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C215,215,"Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik",,
ISCOGroup,http://data.europa.eu/esco/isco/C2151,2151,Ingenieure im Bereich Elektrotechnik,,
ISCOGroup,http://data.europa.eu/esco/isco/C2152,2152,Ingenieure im Bereich Elektronik,,
ISCOGroup,http://data.europa.eu/esco/isco/C2153,2153,Ingenieure im Bereich Telekommunikationstechnik,,
ISCOGroup,http://data.europa.eu/esco/isco/C216,216,"Architekten, Raum-, Stadt- und Verkehrsplaner, Vermessungsingenieure und Designer",,
ISCOGroup,http://data.europa.eu/esco/isco/C2161,2161,Architekten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2162,2162,Landschaftsarchitekten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2163,2163,Produkt- und Textildesigner,,
ISCOGroup,http://data.europa.eu/esco/isco/C2164,2164,"Raum-, Stadt- und Verkehrsplaner",,
ISCOGroup,http://data.europa.eu/esco/isco/C2165,2165,Kartografen und Vermessungsingenieure,,
ISCOGroup,http://data.europa.eu/esco/isco/C2166,2166,Grafik- und Multimediadesigner,,
ISCOGroup,http://data.europa.eu/esco/isco/C22,22,Akademische und verwandte Gesundheitsberufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C221,221,Ärzte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2211,2211,Allgemeinärzte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2212,2212,Fachärzte,,
ISCOGroup,http://data.europa.eu/esco/isco/C222,222,Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2221,2221,Akademische und vergleichbare Krankenpflegefachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2222,2222,Akademische und vergleichbare Geburtshilfefachkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C223,223,Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin,,
ISCOGroup,http://data.europa.eu/esco/isco/C2230,2230,Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin,,
ISCOGroup,http://data.europa.eu/esco/isco/C224,224,Feldscher und vergleichbare paramedizinische Praktiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C2240,2240,Feldscher und vergleichbare paramedizinische Praktiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C225,225,Tierärzte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2250,2250,Tierärzte,,
ISCOGroup,http://data.europa.eu/esco/isco/C226,226,Sonstige akademische und verwandte Gesundheitsberufe,,
ISCOGroup,http://data.europa.eu/esco/isco/C2261,2261,Zahnärzte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2262,2262,Apotheker,,
ISCOGroup,http://data.europa.eu/esco/isco/C2263,2263,Akademische und vergleichbare Fachkräfte in den Bereichen Umwelt- und Arbeitsmedizin sowie Hygiene,,
ISCOGroup,http://data.europa.eu/esco/isco/C2264,2264,Physiotherapeuten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2265,2265,Diätologen und Ernährungsberater,,
ISCOGroup,http://data.europa.eu/esco/isco/C2266,2266,Audiologen und Sprachtherapeuten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2267,2267,Optometristen und Orthoptisten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2269,2269,"Akademische und verwandte Gesundheitsberufe, anderweitig nicht genannt",,
ISCOGroup,http://data.europa.eu/esco/isco/C23,23,Lehrkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C231,231,Universitäts- und Hochschullehrer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2310,2310,Universitäts- und Hochschullehrer,,
ISCOGroup,http://data.europa.eu/esco/isco/C232,232,Lehrkräfte im Bereich Berufsbildung,,
ISCOGroup,http://data.europa.eu/esco/isco/C2320,2320,Lehrkräfte im Bereich Berufsbildung,,
ISCOGroup,http://data.europa.eu/esco/isco/C233,233,Lehrkräfte im Sekundarbereich,,
ISCOGroup,http://data.europa.eu/esco/isco/C2330,2330,Lehrkräfte im Sekundarbereich,,
ISCOGroup,http://data.europa.eu/esco/isco/C234,234,Lehrkräfte im Primar- und Vorschulbereich,,
ISCOGroup,http://data.europa.eu/esco/isco/C2341,2341,Lehrkräfte im Primarbereich,,
ISCOGroup,http://data.europa.eu/esco/isco/C2342,2342,Lehrkräfte und Erzieher im Vorschulbereich,,
ISCOGroup,http://data.europa.eu/esco/isco/C235,235,Sonstige Lehrkräfte,,
ISCOGroup,http://data.europa.eu/esco/isco/C2351,2351,Pädagogik- und Didaktikspezialisten,,
ISCOGroup,http://data.europa.eu/esco/isco/C2352,2352,Lehrkräfte im Bereich Sonderpädagogik,,
ISCOGroup,http://data.europa.eu/esco/isco/C2353,2353,Sonstige Sprachlehrer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2354,2354,Sonstige Musiklehrer,,
