conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C213,213,"Specialister inom biologi, jord- och skogsbruk m.m.",,
ISCOGroup,http://data.europa.eu/esco/isco/C2131,2131,"Biologer, botanister, zoologer m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C2132,2132,"Rådgivare inom jordbruk, skogsbruk och fiske",,
ISCOGroup,http://data.europa.eu/esco/isco/C2133,2133,Specialister inom miljöskydd,,
ISCOGroup,http://data.europa.eu/esco/isco/C214,214,Civilingenjörer m.fl. (utom elektroteknik),,
ISCOGroup,http://data.europa.eu/esco/isco/C2141,2141,"Civilingenjörer m.fl., industri och produktion",,
ISCOGroup,http://data.europa.eu/esco/isco/C2142,2142,"Civilingenjörer m.fl., bygg och anläggning",,
ISCOGroup,http://data.europa.eu/esco/isco/C2143,2143,"Civilingenjörer m.fl., miljöteknik",,
ISCOGroup,http://data.europa.eu/esco/isco/C2144,2144,"Civilingenjörer m.fl., maskin",,
ISCOGroup,http://data.europa.eu/esco/isco/C2145,2145,"Civilingenjörer m.fl., kemi",,
ISCOGroup,http://data.europa.eu/esco/isco/C2146,2146,"Civilingenjörer m.fl., gruvteknik och metallurgi",,
ISCOGroup,http://data.europa.eu/esco/isco/C2149,2149,Övriga civilingenjörer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C215,215,"Civilingenjörer m.fl., elektroteknik",,
ISCOGroup,http://data.europa.eu/esco/isco/C2151,2151,"Civilingenjörer m.fl., elkraft",,
ISCOGroup,http://data.europa.eu/esco/isco/C2152,2152,"Civilingenjörer m.fl., elektronik",,
ISCOGroup,http://data.europa.eu/esco/isco/C2153,2153,"Civilingenjörer m.fl., teleteknik",,
ISCOGroup,http://data.europa.eu/esco/isco/C216,216,"Arkitekter, stadsplanerare, designer m.fl.",,
ISCOGroup,http://data.europa.eu/esco/isco/C2161,2161,Arkitekter,,
ISCOGroup,http://data.europa.eu/esco/isco/C2162,2162,Landskapsarkitekter,,
ISCOGroup,http://data.europa.eu/esco/isco/C2163,2163,Industri- och modedesigner,,
ISCOGroup,http://data.europa.eu/esco/isco/C2164,2164,Stadsplanerare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2165,2165,Lantmätare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2166,2166,Grafiska formgivare m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C22,22,Arbete som kräver teoretisk specialistkompetens inom hälso- och sjukvård,,
ISCOGroup,http://data.europa.eu/esco/isco/C221,221,Läkare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2211,2211,Allmänläkare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2212,2212,Specialistläkare,,
ISCOGroup,http://data.europa.eu/esco/isco/C222,222,Barnmorskor och sjuksköterskor med särskild kompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2221,2221,Sjuksköterskor med särskild kompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2222,2222,Barnmorskor med särskild kompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C223,223,Utövare av komplementär och alternativ medicin med särskild kompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2230,2230,Utövare av komplementär och alternativ medicin med särskild kompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C224,224,Paramedicinare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2240,2240,Paramedicinare,,
ISCOGroup,http://data.europa.eu/esco/isco/C225,225,Veterinärer,,
ISCOGroup,http://data.europa.eu/esco/isco/C2250,2250,Veterinärer,,
ISCOGroup,http://data.europa.eu/esco/isco/C226,226,Andra hälso- och sjukvårdsspecialister,,
ISCOGroup,http://data.europa.eu/esco/isco/C2261,2261,Tandläkare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2262,2262,Apotekare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2263,2263,"Arbetsmiljöingenjörer, yrkes- och miljöhygieniker",,
ISCOGroup,http://data.europa.eu/esco/isco/C2264,2264,Sjukgymnaster,,
ISCOGroup,http://data.europa.eu/esco/isco/C2265,2265,Dietister och nutritionister,,
ISCOGroup,http://data.europa.eu/esco/isco/C2266,2266,Audiologer och logopeder,,
ISCOGroup,http://data.europa.eu/esco/isco/C2267,2267,Optiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C2269,2269,Övriga hälso- och sjukvårdsspecialister,,
ISCOGroup,http://data.europa.eu/esco/isco/C23,23,Arbete som kräver teoretisk specialistkompetens inom undervisning och pedagogik,,
ISCOGroup,http://data.europa.eu/esco/isco/C231,231,Universitets- och högskollärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2310,2310,Universitets- och högskollärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C232,232,Lärare i yrkesämnen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2320,2320,Lärare i yrkesämnen,,
ISCOGroup,http://data.europa.eu/esco/isco/C233,233,Gymnasielärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2330,2330,Gymnasielärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C234,234,Grund- och förskollärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2341,2341,Grundskollärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2342,2342,Förskollärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C235,235,Andra pedagoger med teoretisk specialistkompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2351,2351,Skol- och utbildningskonsulenter,,
ISCOGroup,http://data.europa.eu/esco/isco/C2352,2352,Specialpedagoger m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C2353,2353,Övriga språklärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2354,2354,Övriga musiklärare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2355,2355,Övriga lärare i konstnärliga ämnen,,
ISCOGroup,http://data.europa.eu/esco/isco/C2356,2356,Utbildare inom informationsteknik,,
ISCOGroup,http://data.europa.eu/esco/isco/C2359,2359,Övriga pedagoger med teoretisk specialistkompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C24,24,Arbete som kräver teoretisk specialistkompetens inom företagsekonomi och administration,,
ISCOGroup,http://data.europa.eu/esco/isco/C241,241,Företagsekonomer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C2411,2411,Revisorer m.fl.,,
ISCOGroup,http://data.europa.eu/esco/isco/C2412,2412,Finans- och investeringsrådgivare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2413,2413,Finansanalytiker,,
ISCOGroup,http://data.europa.eu/esco/isco/C242,242,Administratörer med teoretisk specialistkompetens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2421,2421,Lednings- och organisationsutvecklare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2422,2422,Planerare och utredare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2423,2423,Personaltjänstemän och yrkesvägledare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2424,2424,Utbildare och personalutvecklare,,
ISCOGroup,http://data.europa.eu/esco/isco/C243,243,"Marknadsförare, informatörer och försäljare med teoretisk specialistkompetens",,
ISCOGroup,http://data.europa.eu/esco/isco/C2431,2431,Marknadsanalytiker och marknadsförare,,
ISCOGroup,http://data.europa.eu/esco/isco/C2432,2432,"Informatörer, kommunikatörer och PR-specialister",,
ISCOGroup,http://data.europa.eu/esco/isco/C2433,2433,Försäljare inom teknik och medicin (utom IKT),,
ISCOGroup,http://data.europa.eu/esco/isco/C2434,2434,Försäljare inom informations- och kommunikationsteknik (IKT),,
ISCOGroup,http://data.europa.eu/esco/isco/C25,25,Arbete som kräver teoretisk specialistkompetens inom informations- och kommunikationsteknik (IKT),,
ISCOGroup,http://data.europa.eu/esco/isco/C251,251,System- och mjukvaruutvecklare,,
